"sec_idx","security","volatility","volatility_state","symbol","last_price","mu","sigma","iv","strike","option_price","option","position"
84,"CC US Equity",0.051936585,0,"CC",37.85,0.202742770755817,0.152503456864594,0.37035,38,4.06,"CC Jan 17 2020 38 Call",1
85,"CCJ US Equity",0.030580183,0,"CCJ",12.31,0.126208624941084,0.167094573128437,0.35813,13,1,"CCJ Sep 20 2019 13 Call",1
87,"CF US Equity",0.01972902,0,"CF",41.77,0.250682753446742,0.15243896648062,0.35629,42.5,4.3,"CF Aug 16 2019 42.5 Call",1
88,"CGC US Equity",0.044577956,0,"CGC",47.49,0.154871056694816,0.345231773450511,0.58714,50,10.11,"CGC Jan 17 2020 50 Call",1
89,"CHK US Equity",0.12424825,0,"CHK",2.61,0.132384670679982,0.395724307286105,0.66579,3,0.51,"CHK Jan 17 2020 3 Call",1
93,"CIEN US Equity",0.032631435,0,"CIEN",40.5,0.0148390871800825,0.0852523837481214,0.32049,45,3.3,"CIEN Jan 17 2020 45 Call",1
96,"CLF US Equity",0.026743297,0,"CLF",11.25,0.179131204711055,0.216193574492605,0.48747,12,1.83,"CLF Jan 17 2020 12 Call",1
97,"CLR US Equity",0.020195996,0,"CLR",47,0.187158151321988,0.234542391021029,0.39989,47.5,5.5,"CLR Sep 20 2019 47.5 Call",1
98,"CLVS US Equity",0.053741097,0,"CLVS",25.42,0.0053970186910013,0.409265056167758,0.74316,28,6.7,"CLVS Jan 17 2020 28 Call",-1
99,"CMCSA US Equity",0.014782746,0,"CMCSA",37.6,0.180534390717416,0.0848253786748752,0.23178,40,2.39,"CMCSA Jan 17 2020 40 Call",1
103,"CNQ US Equity",0.014770059,0,"CNQ",27.85,0.202138208595268,0.0980112678677246,0.2825,28,0,"CNQ Sep 20 2019 28 Call",1
105,"COG US Equity",0.016298676,0,"COG",25.23,0.143450927381105,0.0953441595357791,0.32417,27,2.25,"COG Jan 17 2020 27 Call",1
107,"CORT US Equity",0.06730907,0,"CORT",11.79,0.302379723032212,0.692131412937898,0.70085,12,2,"CORT Aug 16 2019 12 Call",1
109,"COTY US Equity",NA,0,"COTY",11.03,0.0413538644154178,0.144079129723787,0.39447,12,0.74,"COTY Aug 16 2019 12 Call",-1
111,"CPE US Equity",0.04283216,0,"CPE",7.85,0.498994750372879,0.423029572365031,0.54281,8,1.5,"CPE Jan 17 2020 8 Call",1
112,"CPRI US Equity",0.017255673,0,"CPRI",44.49,0.235991336002857,0.237084151983986,0.39564,45,5.3,"CPRI Aug 16 2019 45 Call",1
113,"CRC US Equity",0.052154392,0,"CRC",21.2,0.0744920689339307,0.375761273699969,0.84818,22,4.75,"CRC Aug 16 2019 22 Call",1
116,"CRON US Equity",0.054399166,0,"CRON",21.32,0.357801211776874,0.23871078530307,0.71646,22,5.8,"CRON Jan 17 2020 22 Call",-1
117,"CRR US Equity",0.14926423,0,"CRR",4.41,0.0100647940581506,0.366312863250283,0.69344,5,0,"CRR Sep 20 2019 5 Call",1
118,"CRZO US Equity",0.035674185,0,"CRZO",12.68,0.593685990255452,0.499179012646188,0.54842,15,1.75,"CRZO Jan 17 2020 15 Call",1
119,"CS US Equity",0.25096264,0,"CS",11.75,0.545647675440758,1.1953596635357,0.25918,12,0.78,"CS Sep 20 2019 12 Call",1
120,"CSCO US Equity",0.011035547,0,"CSCO",49.35,0.124395462206684,0.101008671631582,0.22213,50,3.7,"CSCO Jan 17 2020 50 Call",1
121,"CSIQ US Equity",NA,0,"CSIQ",20.81,0.080488589684023,0.207218572846386,0.39963,22,2.75,"CSIQ Jan 17 2020 22 Call",1
123,"CTL US Equity",0.02820703,0,"CTL",13.8,0.0774678795506717,0.247057120545287,0.43482,15,1.16,"CTL Jan 17 2020 15 Call",1
124,"CTRP US Equity",0.015835188,0,"CTRP",33.32,0.122195964703195,0.214689310906361,0.37523,34,4,"CTRP Sep 20 2019 34 Call",1
127,"CVE US Equity",0.05352647,0,"CVE",8.75,0.193230021313248,0.168038456598459,0.47877,9,1.05,"CVE Sep 20 2019 9 Call",1
128,"CVNA US Equity",0.055629946,0,"CVNA",35.35,0.702729826218178,0.371976457667596,0.71174,36,8,"CVNA Aug 16 2019 36 Call",1
131,"CX US Equity",0.059864737,0,"CX",4.97,0.56458119950103,0.355295264533136,0.34158,5,0,"CX Dec 20 2019 5 Call",1
134,"CYH US Equity",0.09077158,0,"CYH",3.63,0.0630288308292152,0.724361722386045,0.8595,4,1.15,"CYH Sep 20 2019 4 Call",1
135,"CZR US Equity",0.032823697,0,"CZR",9.3,0.348160315565808,0.142658949025441,0.45605,10,1.17,"CZR Sep 20 2019 10 Call",1
137,"DAN US Equity",0.050563335,0,"DAN",19.09,0.0574564596483163,0.175420806757965,0.37676,20,1.55,"DAN Sep 20 2019 20 Call",1
138,"DB US Equity",0.03526297,0,"DB",8.7999,0.0439260043995674,0.151708426033384,0.38183,10,0.9,"DB Jan 17 2020 10 Call",-1
139,"DBD US Equity",0.45944574,0,"DBD",8.12,0.158821956883924,0.235416283136624,0.72837,10,0.97,"DBD Aug 16 2019 10 Call",1
140,"DBX US Equity",0.032721553,0,"DBX",25.55,0.227352112618156,0.252330663356564,0.45763,28,3.96,"DBX Jan 17 2020 28 Call",1
141,"DDD US Equity",0.03701539,0,"DDD",13.65,0.0593364578593313,0.244076162779949,0.60531,14,2.09,"DDD Aug 16 2019 14 Call",1
146,"DHI US Equity",0.011720254,0,"DHI",39.97,0.0898637426711344,0.104399538611109,0.35259,40,3.9,"DHI Aug 16 2019 40 Call",1
148,"DISCA US Equity",0.023589479,0,"DISCA",29.3,0.258744185920288,0.170500488178615,0.34006,30,3.56,"DISCA Jan 17 2020 30 Call",1
149,"DISH US Equity",0.023085222,0,"DISH",30.91,0.312761990482787,0.963013615027863,0.44,32.5,3.3,"DISH Sep 20 2019 32.5 Call",1
150,"DKS US Equity",0.026295664,0,"DKS",37.39,0.057526948005354,0.105911364149862,0.39839,38,3.8,"DKS Sep 20 2019 38 Call",1
152,"DNR US Equity",0.14217214,0,"DNR",2.15,0.300305456588349,0.469539485665813,0.89405,2.5,0.4,"DNR Sep 20 2019 2.5 Call",1
154,"DVN US Equity",0.017142832,0,"DVN",28.7,0.322508912122861,0.263375644022293,0.38725,30,3.56,"DVN Jan 17 2020 30 Call",1
158,"EBAY US Equity",0.010231179,0,"EBAY",36.58,0.00201777302943846,0.129491992182314,0.29043,37,4.14,"EBAY Jan 17 2020 37 Call",1
159,"ECA US Equity",0.03760674,0,"ECA",6.98,0.416013643946573,0.241540678678835,0.47039,7,1.25,"ECA Jan 17 2020 7 Call",1
161,"ELAN US Equity",0.018448431,0,"ELAN",29.6,0.185725862143249,0.0963648430760893,0.39696,30,3.8,"ELAN Jan 17 2020 30 Call",1
164,"ENB US Equity",0.015823254,0,"ENB",35.82,0.200898686310077,0.0816071192104991,0.19809,37.5,1.63,"ENB Jan 17 2020 37.5 Call",1
166,"EPD US Equity",0.01894291,0,"EPD",28.3,0.190105235734066,0.065822085353477,0.17592,29,1,"EPD Sep 20 2019 29 Call",1
167,"ESV US Equity",0.05791379,0,"ESV",4.77,0.34242456783332,0.477232765577125,0.54654,5,0.65,"ESV Sep 20 2019 5 Call",1
168,"ET US Equity",0.02135584,0,"ET",15,0.403620003436008,0.116693260768622,0.28944,15,1.35,"ET Jan 17 2020 15 Call",1
169,"ETH US Equity",0.055544972,0,"ETH",19.76,0.00864487114588746,0.218429557749214,0.35385,20,1.1,"ETH Aug 16 2019 20 Call",1
172,"EXC US Equity",0.01049224,0,"EXC",48.055,0.0431566947366629,0.0383923723921291,0.15392,50,2,"EXC Jan 17 2020 50 Call",1
173,"EXEL US Equity",NA,0,"EXEL",22.07,0.271276569478238,0.28369486346909,0.53776,23,3.3,"EXEL Aug 16 2019 23 Call",1
176,"F US Equity",0.037710063,0,"F",8.52,0.0437718266627732,0.217397095846044,0.30465,9,0.51,"F Sep 20 2019 9 Call",1
179,"FCAU US Equity",0.023542197,0,"FCAU",14.75,0.112621234003669,0.296395177034762,0.27724,15,1.23,"FCAU Sep 20 2019 15 Call",1
180,"FCX US Equity",0.027565444,0,"FCX",12.3,0.117248173137747,0.134731215755421,0.41876,13,1.14,"FCX Aug 16 2019 13 Call",1
181,"FDC US Equity",0.014044286,0,"FDC",25.75,0.0657671214021051,0.125519456580277,0.23704,27,0,"FDC Dec 20 2019 27 Call",1
183,"FEYE US Equity",0.02090927,0,"FEYE",17.26,0.211375217618188,0.146364446847852,0.40141,18,2.07,"FEYE Sep 20 2019 18 Call",1
185,"FIT US Equity",0.0911546,0,"FIT",6.45,0.228680745104508,0.270924407745758,0.60348,7,0.94,"FIT Aug 16 2019 7 Call",1
186,"FLR US Equity",0.018050482,0,"FLR",36.31,0.264675053662713,0.191754049411377,0.33525,37.5,3.9,"FLR Jan 17 2020 37.5 Call",1
188,"FOSL US Equity",0.046498336,0,"FOSL",14.83,0.137602426304306,0.543799626242364,0.71254,15,3.05,"FOSL Sep 20 2019 15 Call",-1
190,"FSLR US Equity",0.038906958,0,"FSLR",49.02,0.196068655137567,0.187674813545027,0.39946,50,5.85,"FSLR Sep 20 2019 50 Call",1
191,"FTR US Equity",0.11188316,0,"FTR",2.67,0.401065732868604,1.15509179837977,0.89896,3,0.55,"FTR Aug 16 2019 3 Call",1
193,"GE US Equity",0.02966429,0,"GE",10.1,0.0429463793116721,0.379181489442875,0.40476,11,0.85,"GE Aug 16 2019 11 Call",1
194,"GG US Equity",0.025846742,0,"GG",10.7,0.19131896624748,0.263983148935172,0.27508,12,0.75,"GG Jan 17 2020 12 Call",1
196,"GIS US Equity",0.016220866,0,"GIS",44.5,0.00837620330008552,0.118737868766153,0.21823,47.5,2.26,"GIS Jan 17 2020 47.5 Call",1
197,"GLNG US Equity",0.038918927,0,"GLNG",22.57,0.548876248561835,0.260303765797825,0.49724,25,2.55,"GLNG Sep 20 2019 25 Call",1
198,"GLW US Equity",0.01277008,0,"GLW",34.51,0.0679380477167366,0.12441052904799,0.26382,35,2.3,"GLW Aug 16 2019 35 Call",1
199,"GM US Equity",0.018026002,0,"GM",39,0.11987310593338,0.170744679885392,0.26128,40,2.59,"GM Sep 20 2019 40 Call",1
200,"GME US Equity",0.038484536,0,"GME",11.49,0.00813904226382136,0.190516881256154,0.52166,13,1.39,"GME Jan 17 2020 13 Call",-1
201,"GNW US Equity",0.0555937,0,"GNW",4.55,0.110018319674187,0.551452592903079,0.23362,5,0,"GNW Sep 20 2019 5 Call",1
202,"GOGO US Equity",0.08488752,0,"GOGO",3.76,0.202618959624195,0.619579577885406,0.82347,4,0.75,"GOGO Aug 16 2019 4 Call",-1
203,"GOLD US Equity",0.02488575,0,"GOLD",12.92,0.133038148331694,0.159538670620859,0.32698,13,1.28,"GOLD Sep 20 2019 13 Call",1
207,"GPOR US Equity",0.040694162,0,"GPOR",8.04,0.272597389403534,0.325374248409241,0.47876,10,0.87,"GPOR Dec 20 2019 10 Call",1
208,"GPRO US Equity",0.08763929,0,"GPRO",5.92,0.0308349381107571,0.317841691534799,0.4721,8,0.52,"GPRO Jan 17 2020 8 Call",-1
210,"GRPN US Equity",0.10234548,0,"GRPN",3.5,0.104306739877796,0.205026548451718,0.49705,3.5,0.73,"GRPN Jan 17 2020 3.5 Call",1
213,"GSK US Equity",0.017772287,0,"GSK",41.11,0.134363753624801,0.0212497064427453,0.14417,42,1.2,"GSK Aug 16 2019 42 Call",1
214,"GT US Equity",0.021207873,0,"GT",18.85,0.00154894809307059,0.225391997904251,0.3182,20,1.57,"GT Jan 17 2020 20 Call",1
