"symbol","mu","sigma","entropy","position"
"BABA US Equity",0.213610698059186,0.0223857293790638,0.910886597035126,1
"MDCO US Equity",0.938447747815044,0.371286999571998,0.827231810614839,1
"CZR US Equity",0.370882040382572,0.0136774375860251,0.481121224129261,1
"PBR US Equity",0.0196384039900249,0.0231367756834016,0.222276124491653,-1
"GS US Equity",0.196046314047239,0.0203045605502925,0.201176348387121,1
"DISCA US Equity",0.230398546431252,0.0380817704809719,0.27272665577489,1
"GE US Equity",0.152930861723447,0.166257280760586,0.16384239080983,1
"BIDU US Equity",0.365512007957937,0.0419515574772907,0.503779954267146,1
"CRM US Equity",0.0504845406866416,0.00959779002538068,0.844973341746418,1
"BAC US Equity",0.134000793259696,0.0232116846336128,0.442927303790064,1
"NVDA US Equity",0.189334683719859,0.060830241938902,0.337536704157152,1
"MAT US Equity",0.0671744770105425,0.0510746128710236,0.32035644814047,-1
"ATVI US Equity",0.445422827712245,0.0258148479206561,0.371607810392152,1
"DIS US Equity",0.146723646723647,0.0170833180960309,0.29395240265764,1
"TWTR US Equity",0.112420257087964,0.0439909746177257,0.114286348980572,1
"FCX US Equity",0.230538632627405,0.0565434299856291,0.211405407169649,1
"IQ US Equity",0.276149732620321,0.0518414092481913,0.266954280069158,1
"AMZN US Equity",0.280226500158002,0.017245354237891,0.830309844868488,1
"SLB US Equity",0.193910660547065,0.0246595291904488,0.442927303790064,1
"GILD US Equity",0.253822629969419,0.0124037051639283,0.410882899352843,1
"CAT US Equity",0.151866901471183,0.028394156748863,0.343679080987113,1
"AMAT US Equity",0.203056794111107,0.045146281357579,0.462329419475181,1
"BA US Equity",0.0515605680798089,0.0104013770631479,0.448315406772136,1
"NIO US Equity",0.239247311827957,0.0698599549080818,0.15526389633907,1
"CVS US Equity",0.337656523449689,0.028156642396174,0.609502264400352,1
"INTC US Equity",0.0728623506068018,0.0275711242935914,0.0634182707586575,1
"TSLA US Equity",0.0417551286574089,0.159370057470751,0.048450811701934,1
"SHOP US Equity",0.0147891768726859,0.016356550817989,0.343679080987113,-1
"BMY US Equity",0.183226349188932,0.00832170639746189,0.405465108108164,1
"MSFT US Equity",0.120978843403766,0.0294018392622826,0.756967372514979,1
"PYPL US Equity",0.0617771383321623,0.00978915496325012,0.458308364564638,1
"UAA US Equity",0.0388191766341053,0.0900474439212936,0.0597920586072946,-1
"TRIP US Equity",0.0238055811826304,0.0316284985063607,0.295352652406394,-1
"WFC US Equity",0.176024464831804,0.0180305450172371,0.146142157939638,1
"AAL US Equity",0.236705516705517,0.0386090715719675,0.442927303790064,1
"CMG US Equity",0.0738806724387696,0.017578322139723,0.038104292754563,-1
"NKE US Equity",0.0296737890056271,0.0137889691249628,0.379115540905379,1
"JD US Equity",0.143034369339308,0.0953458802774872,0.328457560887651,1
"DHI US Equity",0.102307458319452,0.013152767058446,0.598209865129922,1
"EA US Equity",0.0483278082222673,0.0160136840394489,0.449328286325509,-1
"DISH US Equity",0.611273866047075,1.27135948629127,0.0869774747341543,1
"JNJ US Equity",0.0720298852993792,0.00735624791346791,0.246152455437863,1
"ET US Equity",0.452888583218707,0.0188416025106159,0.773529315276661,1
"F US Equity",0.132823192733607,0.0524564384206889,0.256719896696322,1
"GOLD US Equity",0.112322851289389,0.0187567765182063,0.346168331559452,1
"WMT US Equity",0.0935182173709554,0.00473440445439708,0.412443355251732,1
"AAPL US Equity",0.0483903597134331,0.0273965422109217,0.31499045836628,1
