,Argus Research Corp,JAMES KELLEHER,4th,94.257587,buy,1/31/2019
,Jefferies,MARK LIPACIS,4th,94.257587,buy,1/30/2019
,Craig-Hallum Capital Group LLC,CHRISTIAN SCHWAB,4th,94.257587,buy,1/30/2019
,PERM DENIED,PERM DENIED,4th,94.257587,buy,1/29/2019
,Phillip Securities,KANG-WEI HO,4th,94.257587,buy,5/17/2017
,Cowen,MATTHEW RAMSAY,5th,84.711391,outperform,2/7/2019
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
FB US Equity,"Morningstar, Inc",ALI MOGHARABI,1st,22.26963,hold,2/4/2019
,Societe Generale,SIMON BAKER,2nd,9.702156,sell,1/25/2019
,BMO Capital Markets,DANIEL SALMON,3rd,0,market perform,2/15/2019
,Edward Jones,JOSH OLSON,4th,-2.056012,hold,2/13/2019
,PERM DENIED,PERM DENIED,4th,-2.056012,neutral,1/31/2019
,"Monness, Crespi, Hardt & Co",BRIAN WHITE,5th,-2.296777,buy,2/11/2019
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
MU US Equity,Morgan Stanley,JOSEPH MOORE,1st,32.3908,Equalwt/Cautious,2/11/2019
,PERM DENIED,PERM DENIED,2nd,24.620689,neutral,12/19/2018
,BMO Capital Markets,AMBRISH SRIVASTAVA,3rd,23.50001,outperform,2/13/2019
,PERM DENIED,PERM DENIED,4th,18.48195,outperform,1/31/2019
,"Morningstar, Inc",ABHINAV DAVULURI,5th,13.966247,hold,1/7/2019
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
GE US Equity,J.P. Morgan,STEVE TUSA,1st,50.205719,neutral,2/1/2019
,Vertical Research Partners,JEFFREY SPRAGUE,2nd,32.637081,hold,2/11/2019
,Creative Global Investments,CARLO R BESENIUS,3rd,30.127749,sell,10/20/2017
,DZ Bank AG,ROBERT CZERWENSKY,4th,23.43151,sell,2/1/2019
,Oppenheimer & Co,CHRISTOPHER GLYNN,5th,5.866765,market perform,1/31/2019
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
NFLX US Equity,PERM DENIED,PERM DENIED,1st,46.796447,buy,1/18/2019
,Buckingham Research Group,MATTHEW HARRIGAN,2nd,34.368551,buy,1/18/2019
,Guggenheim Securities,MICHAEL MORRIS,3rd,27.330789,buy,2/14/2019
,William Blair & Co,RALPH SCHACKART,3rd,27.330789,outperform,2/12/2019
,Huber Research Partners,CRAIG HUBER,3rd,27.330789,overweight,2/8/2019
,Macquarie,TIMOTHY NOLLEN,3rd,27.330789,outperform,2/6/2019
,PERM DENIED,PERM DENIED,3rd,27.330789,outperform,2/4/2019
,Raymond James,JUSTIN PATTERSON,3rd,27.330789,strong buy,2/4/2019
,Canaccord Genuity,MICHAEL GRAHAM,3rd,27.330789,buy,2/3/2019
,PERM DENIED,PERM DENIED,3rd,27.330789,buy,1/28/2019
,Barclays,KANNAN VENKATESHWAR,3rd,27.330789,overweight,1/23/2019
,BTIG LLC,RICHARD GREENFIELD,3rd,27.330789,buy,1/20/2019
,J.P. Morgan,DOUGLAS ANMUTH,3rd,27.330789,overweight,1/18/2019
,Morgan Stanley,BENJAMIN SWINBURNE,3rd,27.330789,Overwt/In-Line,1/18/2019
,Piper Jaffray,MICHAEL OLSON,3rd,27.330789,overweight,1/18/2019
,Goldman Sachs,HEATH TERRY,3rd,27.330789,buy/attractive,1/18/2019
,MKM Partners,ROB SANDERSON,3rd,27.330789,buy,1/18/2019
,Cowen,JOHN BLACKLEDGE,3rd,27.330789,outperform,1/18/2019
,Oppenheimer & Co,JASON HELFSTEIN,3rd,27.330789,outperform,1/18/2019
,Atlantic Equities LLP,HAMILTON FABER,3rd,27.330789,overweight,1/18/2019
,Pivotal Research Group LLC,JEFFREY WLODARCZAK,3rd,27.330789,buy,1/18/2019
,RBC Capital Markets,MARK MAHANEY,3rd,27.330789,outperform,1/17/2019
,KeyBanc Capital Markets,ANDY HARGREAVES,4th,23.595101,sector weight,1/17/2019
,PERM DENIED,PERM DENIED,5th,21.7648,hold,11/13/2018
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
AMZN US Equity,"Monness, Crespi, Hardt & Co",BRIAN WHITE,1st,12.6765,buy,2/11/2019
,Nomura Instinet,SIMEON SIEGEL,2nd,10.00095,buy,2/15/2019
,BMO Capital Markets,DANIEL SALMON,2nd,10.00095,outperform,2/15/2019
,Macquarie,BENJAMIN SCHACHTER,2nd,10.00095,outperform,2/15/2019
